level_0,index,Borough,Neighborhood,Latitude,Longitude,zip,accident_count,transport,housing,shops,night_life,sports,office
0,0,Queens,Astoria,40.76850859335492,-73.91565374304234,11103,130,45,50,50,50,47,49
1,1,Queens,Woodside,40.74634908860222,-73.90184166838284,11377,394,45,50,50,50,46,48
2,2,Queens,Jackson Heights,40.75198138007367,-73.88282109164365,11372,370,42,50,50,50,44,44
3,3,Queens,Elmhurst,40.744048505122024,-73.88165622288388,11373,387,44,50,50,50,44,42
4,7,Queens,Kew Gardens,40.7051790354148,-73.82981905825703,11415,81,47,50,50,49,44,42
5,8,Queens,Richmond Hill,40.69794731471763,-73.83183321446887,11418,199,45,50,50,49,45,39
6,12,Queens,East Elmhurst,40.76407323883091,-73.86704147658772,11369,219,50,48,49,50,46,46
7,13,Queens,Maspeth,40.725427374093606,-73.89621713626859,11378,257,44,44,50,50,47,44
8,16,Queens,Rego Park,40.72897409480735,-73.8578268690537,11374,198,40,50,50,48,45,46
9,17,Queens,Woodhaven,40.68988687915789,-73.8581104655432,11421,178,49,46,50,47,44,41
10,18,Queens,Ozone Park,40.680708468265415,-73.84320266173447,11417,204,49,47,50,48,44,36
11,19,Queens,South Ozone Park,40.66854957767195,-73.80986478649041,11420,307,48,8,50,43,44,39
12,20,Queens,College Point,40.784902749260205,-73.84304528896125,11356,150,49,16,50,47,47,45
13,23,Queens,Auburndale,40.76172954903262,-73.79176243728061,11358,210,45,44,50,50,43,36
14,27,Queens,Bellerose,40.72857318176675,-73.72012814826903,11426,82,45,13,50,45,43,43
15,28,Queens,Kew Gardens Hills,40.722578244228046,-73.82087764933566,11367,211,47,50,50,49,45,43
16,30,Queens,Briarwood,40.71093547252271,-73.81174822458634,11435,309,47,49,50,50,44,42
17,33,Queens,Queens Village,40.718893092167356,-73.73871484578424,11428,103,44,17,50,45,43,36
18,36,Queens,St. Albans,40.69444538522359,-73.75867603727717,11412,185,42,13,50,38,32,37
19,37,Queens,Rochdale,40.67521139591733,-73.77258787620906,11434,475,49,27,50,36,39,40
20,39,Queens,Cambria Heights,40.692774639160845,-73.73526873708026,11411,126,41,7,50,38,38,25
21,42,Queens,Broad Channel,40.60302658351238,-73.8200548911032,11693,55,31,16,40,19,47,12
22,44,Queens,Steinway,40.775923015642896,-73.90228960391673,11105,121,45,48,50,50,49,47
23,46,Queens,Bay Terrace,40.782842806245554,-73.7768022262158,11360,55,37,42,50,39,45,35
24,55,Queens,Queensboro Hill,40.7445723092867,-73.82580915110559,11355,352,45,50,50,50,44,36
25,56,Queens,Hillcrest,40.723824901829204,-73.79760300912672,11366,111,47,49,50,48,44,41
26,57,Queens,Ravenswood,40.761704526054146,-73.93157506072878,11106,164,47,50,50,50,47,50
27,65,Queens,Bellaire,40.73301404027834,-73.73889198912481,11427,126,48,23,50,45,44,39
28,71,Queens,Astoria Heights,40.7703173929982,-73.89467996270574,11370,146,46,48,50,50,48,46
29,76,Queens,Middle Village,40.716414511158185,-73.88114319200604,11379,169,44,45,50,50,47,43
